,location_id,ra,dec,vlos,evlos,j,ej,h,eh,k,ek,teff,teff_err,logg,logg_err,m_h,m_h_err,alpha_m,alpha_m_err,[C/M],[C/M]_err,[N/M],[N/M]_err,ra_gaia,dec_gaia,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,meandist,diststd,mass,mass_error,iso_mu_log10age,iso_sig_log10age,iso_mu_mh,iso_sig_mh,iso_mu_log10mass,iso_sig_log10mass,iso_mu_dm,iso_sig_dm,isonomass_mu_log10age,isonomass_sig_log10age,isonomass_mu_mh,isonomass_sig_mh,isonomass_mu_log10mass,isonomass_sig_log10mass,isonomass_mu_dm,isonomass_sig_dm,ann_mu_log10age,ann_sig_log10age,ann_mu_mh,ann_sig_mh,ann_mu_log10mass,ann_sig_log10mass,ann_mu_dm,ann_sig_dm
687,    4.40000e+03,    2.91699e+02,    4.85541e+01,   -7.62711e+01,    5.79825e-03,    1.00950e+01,    1.90000e-02,    9.56900e+00,    1.80000e-02,    9.45200e+00,    1.60000e-02,    4.64194e+03,    6.77160e+01,    2.36977e+00,    3.54989e-02,    1.61333e-01,    2.60553e-02,    8.43812e-02,    1.07204e-02,    1.64220e-01,    2.51995e-02,    8.52610e-02,    3.82470e-02,    2.91699e+02,    4.85540e+01,    1.52000e-01,    2.14000e-01,    5.20000e-01,    2.90000e-01,   -8.44400e+00,    1.08000e+00,   -8.07300e+00,    5.57000e-01,nan,nan,    7.70000e-01,    5.00000e-02,    1.07299e+00,    4.61755e-03,    1.04134e-01,    2.49331e-02,   -3.77520e-02,    1.75276e-04,    1.08193e+01,    8.82500e-02,   -3.32208e-01,    8.01385e-02,    1.63780e-01,    2.79366e-02,    4.79717e-01,    2.91630e-02,    1.21688e+01,    1.37565e-01,    1.03659e+00,    2.05593e-01,    1.28893e-01,    2.70747e-02,   -2.26369e-02,    7.63586e-02,    1.08591e+01,    1.69805e-01
688,    4.26200e+03,    2.91709e+02,    3.70515e+01,   -2.06187e+00,    3.02392e-03,    9.09700e+00,    2.20000e-02,    8.50700e+00,    1.80000e-02,    8.39000e+00,    1.80000e-02,    4.72721e+03,    7.16785e+01,    2.38770e+00,    3.96587e-02,   -2.86146e-02,    3.02537e-02,   -4.16138e-03,    1.24612e-02,   -1.78410e-01,    3.07159e-02,    3.22610e-01,    4.57618e-02,    2.91709e+02,    3.70515e+01,    1.67000e-01,    4.36000e-01,   -2.80000e-01,    6.70000e-01,    5.89800e+00,    3.98400e+00,    1.90100e+00,    1.12700e+00,    1.05615e+00,    1.85046e-01,    1.81000e+00,    1.90000e-01,    4.66809e-01,    3.72003e-02,   -9.65869e-04,    4.45566e-02,    1.69330e-01,    1.55705e-02,    1.01968e+01,    1.24678e-01,    9.82808e-01,    1.86253e-01,   -3.15523e-02,    2.70045e-02,   -1.90134e-02,    6.76337e-02,    9.87495e+00,    1.16964e-01,    5.50255e-01,    1.57929e-01,   -3.18289e-02,    3.14511e-02,    1.36465e-01,    5.76734e-02,    1.02015e+01,    1.32352e-01
689,    4.40000e+03,    2.91710e+02,    4.85949e+01,   -1.01570e+00,    2.27608e-03,    7.83300e+00,    2.70000e-02,    7.27400e+00,    1.60000e-02,    7.17200e+00,    1.60000e-02,    4.61423e+03,    6.68128e+01,    2.73771e+00,    5.24097e-02,    4.42923e-02,    2.73006e-02,    5.94823e-02,    1.17630e-02,    3.15250e-02,    2.64319e-02,    2.14460e-01,    4.00324e-02,    2.91710e+02,    4.85950e+01,    1.37000e-01,    2.11000e-01,    2.70000e+00,    2.60000e-01,   -9.58400e+00,    1.05300e+00,    2.13780e+01,    8.46000e-01,    4.08137e-01,    4.13240e-02,    1.27000e+00,    4.00000e-02,    6.44793e-01,    5.38898e-02,    5.33094e-02,    2.39563e-02,    1.12223e-01,    1.61535e-02,    7.96110e+00,    1.84850e-01,    6.13878e-01,    1.11324e-01,    4.42285e-02,    2.59523e-02,    1.20027e-01,    3.96982e-02,    8.07456e+00,    1.78790e-01,    7.11512e-01,    1.45431e-01,    3.93361e-02,    2.81992e-02,    8.72454e-02,    5.38586e-02,    7.87740e+00,    2.38189e-01
690,    4.26200e+03,    2.91720e+02,    3.91093e+01,   -6.52589e+01,    2.51312e-03,    8.95500e+00,    2.10000e-02,    8.36700e+00,    3.30000e-02,    8.19000e+00,    1.80000e-02,    4.64163e+03,    6.79439e+01,    2.32682e+00,    5.27596e-02,    3.54777e-02,    2.78570e-02,    9.87896e-03,    1.18451e-02,   -1.97960e-01,    2.72602e-02,    4.74460e-01,    4.11392e-02,    2.91720e+02,    3.91093e+01,    1.79000e-01,    2.78000e-01,    1.12000e+00,    3.50000e-01,   -4.22000e-01,    1.45500e+00,    4.76100e+00,    1.20300e+00,    9.79239e-01,    1.83369e-01,    1.74000e+00,    3.10000e-01,    5.96368e-01,    1.58217e-01,    6.62280e-02,    3.76924e-02,    1.28418e-01,    6.22790e-02,    1.02256e+01,    2.64701e-01,    8.12432e-01,    1.87130e-01,    2.76218e-02,    4.54511e-02,    4.15396e-02,    7.54870e-02,    9.88089e+00,    3.03872e-01,    5.90137e-01,    2.39201e-01,    4.12311e-02,    3.20459e-02,    1.29250e-01,    8.73935e-02,    1.00442e+01,    2.45007e-01
691,    4.40000e+03,    2.91725e+02,    4.76915e+01,   -4.94210e+01,    4.61068e-03,    9.11500e+00,    2.10000e-02,    8.60000e+00,    2.60000e-02,    8.52900e+00,    1.50000e-02,    4.93348e+03,    8.11692e+01,    2.48752e+00,    4.35903e-02,   -2.40000e-02,    3.39088e-02,    4.25241e-02,    1.24128e-02,   -1.15000e-01,    3.70593e-02,    4.04260e-01,    5.39179e-02,    2.91725e+02,    4.76915e+01,    1.23000e-01,    2.94000e-01,    1.03000e+00,    2.80000e-01,    2.25400e+00,    1.10800e+00,    9.22600e+00,    3.17900e+00,    1.12882e+00,    1.50733e-01,    2.51000e+00,    1.20000e-01,   -1.67429e-01,    4.63510e-02,   -2.54145e-02,    3.00354e-02,    4.12906e-01,    1.58918e-02,    1.07870e+01,    1.26400e-01,    3.19055e-01,    2.44537e-01,   -3.49072e-02,    2.63690e-02,    2.22927e-01,    9.45980e-02,    1.02825e+01,    2.78000e-01,    3.62461e-01,    1.97479e-01,   -3.22230e-02,    3.29215e-02,    2.07453e-01,    7.35387e-02,    1.01856e+01,    1.41646e-01
692,    4.58900e+03,    2.91740e+02,    3.74677e+01,   -1.96615e+01,    3.20741e-03,    7.94100e+00,    1.90000e-02,    7.41700e+00,    2.00000e-02,    7.31400e+00,    1.70000e-02,    4.82703e+03,    7.59847e+01,    2.48870e+00,    4.05447e-02,    3.67998e-02,    3.09109e-02,   -8.83729e-03,    1.18302e-02,   -1.45730e-01,    3.23286e-02,    3.52030e-01,    4.77524e-02,    2.91740e+02,    3.74677e+01,    1.69000e-01,    3.29000e-01,    1.27000e+00,    3.70000e-01,    4.01200e+00,    1.83900e+00,    5.03100e+00,    1.26100e+00,    6.67115e-01,    9.81868e-02,    1.83000e+00,    7.00000e-02,    2.97019e-01,    5.06306e-02,    5.96048e-02,    2.98664e-02,    2.44447e-01,    2.68452e-02,    9.07949e+00,    2.00438e-01,    3.97554e-01,    2.33769e-01,    3.13481e-02,    3.34837e-02,    1.98535e-01,    8.98207e-02,    9.05308e+00,    2.60933e-01,    3.65624e-01,    1.88639e-01,    2.97476e-02,    2.78831e-02,    2.11665e-01,    7.06303e-02,    9.02627e+00,    1.73673e-01
693,    4.40000e+03,    2.91763e+02,    4.78049e+01,   -2.43490e+01,    4.92862e-03,    9.42800e+00,    2.50000e-02,    8.88700e+00,    2.10000e-02,    8.78000e+00,    1.40000e-02,    4.76371e+03,    7.31557e+01,    2.37411e+00,    3.95020e-02,    2.74696e-02,    2.99737e-02,    2.59781e-03,    1.19189e-02,   -1.92640e-01,    3.06701e-02,    3.98800e-01,    4.56174e-02,    2.91763e+02,    4.78048e+01,    1.18000e-01,    2.53000e-01,    9.20000e-01,    2.30000e-01,   -5.73500e+00,    8.91000e-01,   -9.64400e+00,    6.59000e-01,    2.03721e+00,    6.19065e-02,    1.73000e+00,    1.50000e-01,    4.57367e-01,    4.34461e-02,    3.87089e-02,    1.56966e-02,    1.76747e-01,    1.85847e-02,    1.07005e+01,    1.01852e-01,    1.01304e+00,    1.53294e-01,    1.66173e-02,    3.31372e-02,   -2.54268e-02,    5.55634e-02,    1.02972e+01,    1.07234e-01,    5.33544e-01,    1.86201e-01,    2.41050e-02,    2.96608e-02,    1.48728e-01,    6.81333e-02,    1.04874e+01,    1.49222e-01
694,    4.46400e+03,    2.91808e+02,    4.23379e+01,   -2.62380e+01,    4.18153e-03,    8.71400e+00,    2.30000e-02,    8.21600e+00,    2.30000e-02,    8.14400e+00,    1.50000e-02,    4.84669e+03,    7.74084e+01,    2.42806e+00,    4.45315e-02,   -1.88950e-01,    3.52611e-02,    4.67822e-02,    1.41481e-02,   -8.45280e-02,    3.79450e-02,    2.97500e-01,    5.53444e-02,    2.91808e+02,    4.23379e+01,    2.56000e-01,    2.39000e-01,    1.46000e+00,    4.00000e-01,   -6.40800e+00,    7.71000e-01,   -2.56500e+00,    9.41000e-01,    9.02541e-01,    9.08889e-02,    1.05000e+00,    5.00000e-02,    1.02751e+00,    5.87046e-03,   -1.99634e-01,    4.32688e-02,   -5.26409e-02,    2.80018e-03,    9.54686e+00,    2.48404e-02,    2.24909e-01,    3.90495e-01,   -1.92556e-01,    3.74959e-02,    2.43999e-01,    1.51483e-01,    1.00690e+01,    4.52935e-01,    5.66457e-01,    2.24298e-01,   -1.90942e-01,    3.41080e-02,    1.16115e-01,    8.22273e-02,    9.72825e+00,    1.30319e-01
695,    4.40000e+03,    2.91819e+02,    4.86526e+01,    5.27371e+00,    5.47892e-03,    9.71100e+00,    2.10000e-02,    9.14000e+00,    1.80000e-02,    9.03300e+00,    1.60000e-02,    4.65588e+03,    6.85431e+01,    2.57498e+00,    5.29723e-02,    2.93144e-02,    2.81747e-02,   -2.91539e-03,    1.19029e-02,   -1.37580e-01,    2.77288e-02,    3.90210e-01,    4.17655e-02,    2.91819e+02,    4.86526e+01,    1.72000e-01,    2.14000e-01,    8.40000e-01,    2.90000e-01,   -4.83000e-01,    1.02600e+00,   -8.26200e+00,    5.08000e-01,nan,nan,    1.43000e+00,    1.60000e-01,    4.86091e-01,    5.43972e-02,    3.65014e-02,    2.62474e-02,    1.65021e-01,    2.12017e-02,    1.05449e+01,    1.20783e-01,    4.71788e-01,    6.66908e-02,    3.77534e-02,    2.63259e-02,    1.70647e-01,    2.60715e-02,    1.05560e+01,    1.17523e-01,    3.72681e-01,    1.45545e-01,    3.45164e-02,    2.80329e-02,    2.08866e-01,    5.40701e-02,    1.05553e+01,    1.73547e-01
696,    4.40000e+03,    2.91869e+02,    4.97459e+01,   -9.68159e-01,    7.96744e-03,    9.58800e+00,    2.10000e-02,    9.09200e+00,    1.80000e-02,    9.00600e+00,    1.30000e-02,    4.83965e+03,    7.71803e+01,    2.77737e+00,    5.94939e-02,   -2.30994e-01,    3.59203e-02,    8.53419e-03,    1.46277e-02,   -1.22630e-01,    3.87123e-02,    2.67200e-01,    5.64003e-02,    2.91869e+02,    4.97459e+01,    1.62000e-01,    2.48000e-01,    9.60000e-01,    2.90000e-01,   -1.19800e+00,    1.20300e+00,   -3.53800e+00,    9.30000e-01,    9.25529e-01,    1.34343e-01,    1.62000e+00,    1.80000e-01,    4.72861e-01,    6.20196e-02,   -2.23133e-01,    3.64782e-02,    1.43770e-01,    2.62587e-02,    1.00868e+01,    1.56687e-01,    4.79786e-01,    7.01673e-02,   -2.25151e-01,    3.76974e-02,    1.41331e-01,    2.92835e-02,    1.00602e+01,    1.70368e-01,    4.94264e-01,    1.40306e-01,   -2.35394e-01,    3.85219e-02,    1.37754e-01,    5.25417e-02,    9.96626e+00,    2.75197e-01
